,Case,Date,Year,Country,Location,Activity,Sex,Age,Fatal
2619,1985.09.08.a,08-Sep-85,1985,USA,"Palm Beach, Palm Beach County",Diving/Scuba Diving/Freediving,M,,N
2620,1985.09.05,05-Sep-85,1985,USA,"Fort Pierce Inlet, St Lucie County",Swimming/Surfing/Boogie Boarding,M,17,N
2621,1985.08.22,22-Aug-85,1985,USA,"Palmetto Dunes, Hilton Head, Beaufort County",Standing/Wading/Walking,M,87,N
2622,1985.08.20,20-Aug-85,1985,USA,"New Smyrna Beach, Volusia County",Standing/Wading/Walking,M,11,N
2623,1985.08.17,17-Aug-85,1985,USA,"Bayport, Hernando County",Diving/Scuba Diving/Freediving,M,67,Y
2624,1985.07.25.b,25-Jul-85,1985,USA,"Daytona Beach, Volusia County",Standing/Wading/Walking,F,13,N
2625,1985.07.25.a,25-Jul-85,1985,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,15,N
2626,1985.07.21,21-Jul-85,1985,USA,"Off Shelter Cover (between Fort Bragg & Eureka), Humboldt County",,Unknown,,N
2627,1985.07.19,19-Jul-85,1985,USA,"Folly Beach, Charleston County",,F,10,N
2628,1985.07.00,Mid Jul-1985 or mid Jul-1986,1985,ITALY,Punta Secca,Diving/Scuba Diving/Freediving,M,13,N
2629,1985.05.26,26-May-85,1985,USA,"Long Beach, Los Angeles County",,M,,N
2630,1985.05.08,08-May-85,1985,SOUTH AFRICA,Umdhloti,Fishing/Spearfishing,M,39,N
2631,1985.03.16,16-Mar-85,1985,USA,"Palm Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,25,N
2632,1985.03.03,03-Mar-85,1985,AUSTRALIA,"Wisemans Beach, Peake Bay, Port Lincoln",,F,33,Y
2633,1985.02.18,18-Feb-85,1985,USA,"San Miguel Island, Santa Barbara County",,M,29,N
2634,1985.02.03,03-Feb-85,1985,USA,"15 miles north of Sebastian Inlet, Brevard County",Swimming/Surfing/Boogie Boarding,M,16,N
2635,1985.01.27,27-Jan-85,1985,SOUTH AFRICA,Struisbaai,Swimming/Surfing/Boogie Boarding,M,15,N
2636,1985.01.18,18-Jan-85,1985,SOUTH AFRICA,Umzimkulu,,M,,Y
2637,1985.01.17,17-Jan-85,1985,SOUTH AFRICA,Umbogintwini,Swimming/Surfing/Boogie Boarding,M,18,N
2638,1985.01.16,16-Jan-85,1985,NEW ZEALAND,Christchurch,,Unknown,,N
2639,1985.01.04,04-Jan-85,1985,SOUTH AFRICA,"Buffels Bay, False Bay",Fishing/Spearfishing,M,34,N
2640,1985.01.00.b,Jan-85,1985,NEW CALEDONIA,Amedee Island,Fishing/Spearfishing,Unknown,,N
2641,1985.01.00.a,Jan-85,1985,SOUTH AFRICA,Salt Rock,Fishing/Spearfishing,M,20,N
2642,1985.00.00.f,1985,1985,VANUATU,"Port Sandwich Bay, Lamap, Malakula",,M,,Y
2643,1985.00.00.a,1985,1985,IRAN,"Ramin, near Ahvaz",Fishing/Spearfishing,M,,Y
2644,1984.12.03,03-Dec-84,1984,ITALY,"Marciana Marina, Isola d'Elba",,Unknown,,N
2645,1984.11.30,30-Nov-84,1984,AUSTRALIA,1 km off Black's Beach,,M,16,Y
2646,1984.11.11,11-Nov-84,1984,USA,"Jupiter Island Beach, Martin County",Swimming/Surfing/Boogie Boarding,M,13,N
2647,1984.11.04,04-Nov-84,1984,USA,"Fowey Rock, Key Biscayne",Fishing/Spearfishing,M,29,N
2648,1984.10.21.b,21-Oct-84,1984,USA,"Wabasso Beach, Indian River County",Swimming/Surfing/Boogie Boarding,M,22,Y
2649,1984.10.21,21-Oct-84,1984,USA,"3 miles south of Sebastian Inlet State Park, Indian River County",,F,23,N
2650,1984.10.17,17-Oct-84,1984,USA,"Boynton Beach, Palm Beach County",Standing/Wading/Walking,F,77,N
2651,1984.10.14.a,14-Oct-84,1984,USA,"Bob Graham Beach, Martin County",Swimming/Surfing/Boogie Boarding,M,15,N
