,Case,Date,Year,Country,Location,Activity,Sex,Age,Fatal
4185,1952.05.07.R,Reported 07-May-1952,1952,AUSTRALIA,Boyup Brook,,M,,N
4186,1952.05.00,May-52,1952,INDIA,Off Trivandrum (west coast),,M,,N
4187,1952.04.06,06-Apr-52,1952,AUSTRALIA,Streaky Bay,,Unknown,,N
4188,1952.04.00,Apr-52,1952,SUDAN,"Suakin Harbor, Suakin Island",Fishing/Spearfishing,M,,N
4189,1952.03.30,30-Mar-52,1952,NETHERLANDS ANTILLES,,,M,,N
4190,1952.01.23,23-Jan-52,1952,MAURITIUS,Port Louis,,M,,N
4191,1952.01.07,07-Jan-52,1952,AUSTRALIA,Evans Head,Swimming/Surfing/Boogie Boarding,M,,N
4192,1952.00.00.e,1952-1954,1952,LIBERIA,"West Breakwater, Monrovia / Freeport",,M,,Y
4193,1952.00.00.d,1952,1952,PAPUA NEW GUINEA,Manus Island,Fishing/Spearfishing,M,,N
4194,1952.00.00.c,1952,1952,PAPUA NEW GUINEA,"Momote, Manus Island",Fishing/Spearfishing,M,,Y
4195,1952.00.00.b,1952,1952,PAPUA NEW GUINEA,"Samo Plantation, east coast ",Fishing/Spearfishing,M,27,Y
4196,1952.00.00.a,1952,1952,USA,Near Key West,Swimming/Surfing/Boogie Boarding,M,,Y
4197,1951.12.21,21-Dec-51,1951,MOZAMBIQUE,Catembe ,Swimming/Surfing/Boogie Boarding,M,15,Y
4198,1951.12.16,16-Dec-51,1951,AUSTRALIA,North Bondi,Fishing/Spearfishing,M,18,N
4199,1951.12.06,06-Dec-51,1951,AUSTRALIA,"Merewether Beach, Newcastle",Standing/Wading/Walking,M,21,Y
4200,1951.11.29,29-Nov-51,1951,SOUTH AFRICA,"South Beach, Durban",Swimming/Surfing/Boogie Boarding,M,23,N
4201,1951.11.28.b,28-Nov-51,1951,JAMAICA,Kingston Harbor,Fishing/Spearfishing,M,81,N
4202,1951.11.28.a,28-Nov-51,1951,SOUTH AFRICA,Winkelspruit,Standing/Wading/Walking,M,24,N
4203,1951.11.23.R,Reported 23-Nov-1951,1951,PHILIPPINES,,,M,,Y
4204,1951.10.22,22-Oct-51,1951,AUSTRALIA,"Ocean baths, Kissing Point Beach ",Swimming/Surfing/Boogie Boarding,M,42,Y
4205,1951.10.05,05-Oct-51,1951,NORTH ATLANTIC OCEAN,400 miles off the le,,Unknown,,N
4206,1951.09.29,29-Sep-51,1951,ITALY,Amalfi,Swimming/Surfing/Boogie Boarding,F,21,Y
4207,1951.09.03.R,Reported 03-Sep-1951,1951,ITALY,Salerno,,M,,N
4208,1951.09.02-R,Reported 02-Sep-1951,1951,AUSTRALIA,Fitzroy River near Rockhampton,,M,56,Y
4209,1951.08.17.b,17-Aug-51,1951,GREECE,Off Royal Residence,Swimming/Surfing/Boogie Boarding,M,18,N
4210,1951.08.17.a,17-Aug-51,1951,GREECE,Off Royal Residence,Swimming/Surfing/Boogie Boarding,F,16,Y
4211,1951.08.16.R,Reported 16-Aug-1951,1951,ITALY,Torre Colimena,,M,,N
4212,1951.08.00,Between 01-Aug-1951 & 08-Aug-1951,1951,COLOMBIA,Cartegena,Standing/Wading/Walking,Unknown,,Y
4213,1951.07.19.R,Reported 19-Jul-1951,1951,USA,"Long Beach, Los Angeles County",,M,13,N
4214,1951.07.11,11-Jul-51,1951,PACIFIC OCEAN,In Los Angeles  Honolulu yacht race,Kayaking/Canoeing/Rowing,M,40,N
4215,1951.06.25,25-Jun-51,1951,USA,"Kapehu Beach, Laupahoehoe, Hawai'i",,M,,Y
4216,1951.06.00,Jun-51,1951,FRENCH POLYNESIA,"Outer edge of Hikueru, one of the Central Tuamotu atolls",Fishing/Spearfishing,M,39,N
4217,1951.05.22,22-May-51,1951,MEXICO,,Diving/Scuba Diving/Freediving,M,16,N
4218,1951.05.09.R,Reported 09-May-1951,1951,ITALY,"Torre del Greco, Naples",,Unknown,,N
4219,1951.03.26,26-Mar-51,1951,AUSTRALIA,Avalon,,M,23,N
4220,1951.03.24,24-Mar-51,1951,AUSTRALIA,Sydney,,M,"""young""",N
4221,1951.03.15,15-Mar-51,1951,SOUTH AFRICA,"South Beach, Durban",Swimming/Surfing/Boogie Boarding,M,19,N
4222,1951.02.19,19-Feb-51,1951,SOUTH AFRICA,Port St. Johns,Swimming/Surfing/Boogie Boarding,M,31,N
4223,1951.02.03,03-Feb-51,1951,AUSTRALIA,"Windang, near the entrance to Lake Illawarra",,M,20,N
4224,1951.02.01,01-Feb-51,1951,AUSTRALIA,Bondi Beach,Swimming/Surfing/Boogie Boarding,M,14,N
4225,1951.01.21,21-Jan-51,1951,SOUTH AFRICA,"Native Beach, Durban",Swimming/Surfing/Boogie Boarding,M,19,Y
4226,1951.01.03,03-Jan-51,1951,AUSTRALIA,Hawkesbury River,,M,,Y
4227,1951.00.00,1951,1951,PAPUA NEW GUINEA,Manam Island,,Unknown,,Y
4228,1950.12.31,31-Dec-50,1950,AUSTRALIA,Kirra,,M,19,N
4229,1950.12.19.R,Reported 19-Dec-1950,1950,AUSTRALIA,Jervis Bay,Swimming/Surfing/Boogie Boarding,Unknown,,N
4230,1950.12.16,16-Dec-50,1950,AUSTRALIA,"Palm Beach North, 5 miles north of Burleigh Heads, Brisbane",Standing/Wading/Walking,M,20,Y
4231,1950.11.29,29-Nov-50,1950,AUSTRALIA,Goulburn Island,,M,17,N
4232,1950.11.25,25-Nov-50,1950,AUSTRALIA,"Burleigh Heads, Brisbane",Swimming/Surfing/Boogie Boarding,M,21,N
4233,1950.11.12,12-Nov-50,1950,AUSTRALIA,Yeppoon,,M,18,N
4234,1950.10.08,28-Oct-50,1950,USA,"Imperial Beach, San Diego County",,M,31,N
4235,1950.10.04,04-Oct-50,1950,AUSTRALIA,"Peterson's Beach, Sarina",Fishing/Spearfishing,M,25,N
4236,1950.08.06,06-Aug-50,1950,EL SALVADOR,50 miles off Port La Libertad,,M,27,N
4237,1950.08.00,Aug-50,1950,SAUDI ARABIA,East of the Ras Tanura-Jubail area ,Diving/Scuba Diving/Freediving,M,,N
4238,1950.07.27.R,Reported 27-Jul-1950,1950,AUSTRALIA,Streaky Bay,Fishing/Spearfishing,Unknown,,N
4239,1950.07.21,21-Jul-50,1950,JAPAN,Ariakeno Bay,Swimming/Surfing/Boogie Boarding,M,19,Y
4240,1950.07.19,1950.07.19,1950,ITALY,Albenga,Fishing/Spearfishing,M,,N
4241,1950.07.14,15-Jul-50,1950,CUBA,,,M,30,N
4242,1950.07.10,10-Jul-50,1950,USA,Near Port Arthur,Swimming/Surfing/Boogie Boarding,M,11,N
4243,1950.07.09,09-Jul-50,1950,USA,Galveston Bay,,M,,Y
4244,1950.07.00,Jul-50,1950,USA,"Rock Harbor, Key Largo, Monroe County",,M,21,N
4245,1950.06.25,25-Jun-50,1950,USA,"Beach 103rd Street, Rockaway ",Swimming/Surfing/Boogie Boarding,M,16,N
4246,1950.06.06,06-Jun-50,1950,USA,275 miles northeast of Miami,,M,25,Y
4247,1950.05.24,24-May-50,1950,SOUTH AFRICA,Port Edward,Standing/Wading/Walking,M,27,N
4248,1950.05.01,01-May-50,1950,ITALY,"Sprizze, Isola d'Elba",,M,,N
4249,1950.04.09.b,09-Apr-50,1950,AUSTRALIA,Cooper's Point,,M,50,Y
4250,1950.04.09.a,09-Apr-50,1950,SOUTH AFRICA,Off Port Elizabeth breakwater,,M,,N
4251,1950.03.26,26-Mar-50,1950,SOUTH AFRICA,"Off bank of Ntshala River, Morgan Bay",Standing/Wading/Walking,M,,N
4252,1950.03.08,08-Mar-50,1950,SOUTH AFRICA,"North Beach, Durban",,M,20,Y
4253,1950.03.01,01-Mar-50,1950,AUSTRALIA,"City Beach, Perth",,M,,Y
4254,1950.02.18.R,Reported 18-Feb-1950,1950,AUSTRALIA,"Cottesloe, Perth",Fishing/Spearfishing,M,,N
4255,1950.02.11,11-Feb-50,1950,SOUTH AFRICA,"South Beach, Durban",Swimming/Surfing/Boogie Boarding,M,14,Y
4256,1950.01.16,16-Jan-50,1950,USA,"Kahakuloa, Maui",,M,,Y
4257,1950.01.12.R,Reported 12-Jan-1950,1950,AUSTRALIA,South Werribee Beach,Swimming/Surfing/Boogie Boarding,M,,N
4258,1950.00.00.m,1950,1950,AUSTRALIA,Triabunna,,M,,N
4259,1950.00.00.l,1950,1950,SRI LANKA,Heda Oya Estuary,Fishing/Spearfishing,M,,N
4260,1950.00.00.k,1950,1950,SRI LANKA,Dodnduwa,Fishing/Spearfishing,M,,N
4261,1950.00.00.j,1950 - 1951,1950,LIBERIA,Monrovia,,M,,Y
4262,1950.00.00.i,Summer 1950,1950,INDONESIA,On rock near Yacht Club,,M,7 or 8,Y
4263,1950.00.00.h,1950,1950,USA,"Jacksonville Beach, Duval County",Standing/Wading/Walking,M,,N
4264,1950.00.00.g,1950s,1950,USA,"Waikiki, O'ahu",Fishing/Spearfishing,M,,N
4265,1950.00.00.f,1950,1950,PANAMA,300 yards west of mouth of the Chagres River,,M,,N
4266,1950.00.00.e,Summer 1950,1950,GREECE,"Piraeus, Athens",Swimming/Surfing/Boogie Boarding,Unknown,,Y
4267,1950.00.00.d,1950,1950,SINGAPORE,,,M,,Y
4268,1950.00.00.c,1950,1950,NEW CALEDONIA,"Voh, near meatworks",,M,,N
4269,1950.00.00.b,Ca. 1950,1950,NEW CALEDONIA,Mangalia Reef above Touho ,,M,,N
4270,1950.00.00.a,Ca. 1950,1950,FIJI,Near Lautoka,,M,,N
4271,1949.12.00.b,Dec-49,1949,UNKNOWN,Between  Cuba  & Costa Rica,,M,,Y
4272,1949.12.00.a,Dec-49,1949,AUSTRALIA,Seaholme,,M,35,N
4273,1949.11.20,20-Nov-49,1949,AUSTRALIA,"Kurnell, Botany Bay ",,M,36,N
4274,1949.11.12,12-Nov-49,1949,AUSTRALIA,Port Phillip Bay,,M,,Y
4275,1949.08.28.b,28-Aug-49,1949,AUSTRALIA,Yorkeys Knob Beach near Cairns,Swimming/Surfing/Boogie Boarding,M,21,N
4276,1949.08.28.a,28-Aug-49,1949,AUSTRALIA,Yorkeys Knob Beach near Cairns,Swimming/Surfing/Boogie Boarding,M,34,Y
4277,1949.08.17,17-Aug-49,1949,ITALY,Elba Island,Swimming/Surfing/Boogie Boarding,M,17,N
4278,1949.08.16,16-Aug-49,1949,AUSTRALIA,Flinders Island,,M,18,N
4279,1949.08.10.R,Reported 10-Aug-1949,1949,ITALY,Cosenza,Swimming/Surfing/Boogie Boarding,M,21,N
4280,1949.07.29,07-Jul-49,1949,IRAN,,Swimming/Surfing/Boogie Boarding,M,18,N
4281,1949.07.28,28-Jul-49,1949,IRAN,Bashamir,Swimming/Surfing/Boogie Boarding,M,18,Y
4282,1949.07.25,25-Jul-49,1949,USA,"Oketee River, Jasper County",Standing/Wading/Walking,M,16,N
4283,1949.07.16,16-Jul-49,1949,USA,"10 miles off Redondo Beach, Los Angeles County",Fishing/Spearfishing,M,16,N
4284,1949.06.13,13-Jun-49,1949,CHINA,Between Tientsin & Hong Kong,,M,,Y
4285,1949.05.16,16-May-49,1949,AUSTRALIA,Broome,Standing/Wading/Walking,F,22,N
4286,1949.05.13,13-May-49,1949,AUSTRALIA,Nelson's Bay,,M,26,N
4287,1949.04.18,18-Apr-49,1949,AUSTRALIA,"Nerang River, Southpot",Fishing/Spearfishing,M,,N
4288,1949.04.17,17-Apr-49,1949,AUSTRALIA,"Ellis Beach, 20 miles from Cairns",,M,13,Y
4289,1949.04.13,13-Apr-49,1949,MEXICO,"Miramar Beach, Tampico",Standing/Wading/Walking,M,,N
4290,1949.03.00,Mar-1949 or Apr-1949,1949,AUSTRALIA,18 miles south of Port Augusta,,Unknown,,U
4291,1949.01.23,23-Jan-49,1949,AUSTRALIA,"Bar Beach, Newcastle ",,M,20,Y
4292,1949.01.14,14-Jan-49,1949,AUSTRALIA,Off North Bondi,Swimming/Surfing/Boogie Boarding,M,32,N
4293,1949.01.13,13-Jan-49,1949,AUSTRALIA,"Mona Vale, near Sydney",Kayaking/Canoeing/Rowing,M,,N
4294,1949.01.05,05-Jan-49,1949,AUSTRALIA,"Leighton Beach, North Fremantle",,Unknown,,U
4295,1949.00.00.g,1949-1950,1949,ITALY,San Vincenzo,,M,,N
4296,1949.00.00.f,1949,1949,PAPUA NEW GUINEA,"Sabara Island, Calvados Chain 11.4S, 153E",,Unknown,,Y
4297,1949.00.00.e,1949,1949,PAPUA NEW GUINEA,"Kulengei, southeast of Kalili, Kavieng",,M,,N
4298,1949.00.00.d,1949,1949,PAPUA NEW GUINEA,"Enang , Kavieng",,M,,N
4299,1949.00.00.c,1949,1949,PAPUA NEW GUINEA,"Orava (Aravo) Islet , near Kieta. ",Fishing/Spearfishing,M,18,Y
4300,1949.00.00.b,1949,1949,PAPUA NEW GUINEA,"Sohano Island, Buka Passage",,M,,N
4301,1949.00.00.a,1949,1949,PAPUA NEW GUINEA,Kerpuna ,Swimming/Surfing/Boogie Boarding,M,,Y
4302,1948.12.27,27-Dec-48,1948,AUSTRALIA,Lancelin Island,Swimming/Surfing/Boogie Boarding,M,17,Y
4303,1948.12.26,26-Dec-48,1948,AUSTRALIA,"Kings Beach, Caloundra",,M,28,Y
4304,1948.12.14.b,14-Dec-48,1948,IRAN,Abadan,,M,19,N
4305,1948.12.14.a,14-Dec-48,1948,CUBA,10 miles off Cape Maisi,,M,14,N
4306,1948.12.10,10-Dec-48,1948,AUSTRALIA,Rib Reef off Townsville,Fishing/Spearfishing,M,,N
4307,1948.12.05,05-Dec-48,1948,NORTH PACIFIC OCEAN,500 nautical miles southwest of Johnston Island,,M,,Y
4308,1948.11.18, 18-Nov-1948,1948,AUSTRALIA,"Saibai Island, 80 miles north of Cape York",Diving/Scuba Diving/Freediving,M,41,N
4309,1948.09.22,22-Sep-48,1948,GREECE,Keratsini ,Swimming/Surfing/Boogie Boarding,M,17,Y
4310,1948.09.19.b,19-Sep-48,1948,USA,"Off Makapauu Point, O'ahu",Swimming/Surfing/Boogie Boarding,M,,N
4311,1948.09.19.a,19-Sep-48,1948,USA,"Off Makapauu Point, O'ahu",Fishing/Spearfishing,M,,N
4312,1948.09.17.R,Reported 17-Sep-1848,1848,TURKEY,Yumurtalik,Swimming/Surfing/Boogie Boarding,M,,Y
4313,1948.09.15,15-Sep-48,1948,MID ATLANTIC OCEAN,Bound from New York to London in ballast,,M,,Y
4314,1948.09.02,02-Sep-48,1948,IRAN,,,F,60,Y
4315,1948.08.19,19-Aug-48,1948,IRAN,,,M,13,Y
4316,1948.08.03,03-Aug-48,1948,IRAN,Bashamir,Swimming/Surfing/Boogie Boarding,M,15,N
4317,1948.08.00,Aug-48,1948,BAHAMAS,Lerner Marine Laboratory,,M,41,N
4318,1948.07.01,01-Jul-48,1948,USA,"St. John, Genti Bay",Swimming/Surfing/Boogie Boarding,M,46,Y
4319,1948.06.06.R,Reported 06-Jun-1948,1948,NORTHERN MARIANA ISLANDS,,Swimming/Surfing/Boogie Boarding,M,,N
4320,1948.05.10,10-May-48,1948,IRAN,,,M,38,N
4321,1948.04.10,10-Apr-48,1948,SOUTH AFRICA,Gansbaai,,M,,N
4322,1948.03.13.R,"Reported 13-Mar-1948 ""Bitten last weekend",1948,KENYA,Mombasa,,M,,Y
4323,1948.03.11,11-Mar-48,1948,SENEGAL,Between Joal & Sangomar near Dakar,,Unknown,,Y
4324,1948.03.00,Mar-48,1948,PAPUA NEW GUINEA,"Punam Passage, Rataman census div, Namatanai",Fishing/Spearfishing,M,30,N
4325,1948.02.13,13-Feb-48,1948,USA,"Gulf of Mexico between Brownsville & Carmen, Mexico",,M,,Y
4326,1948.02.12,12-Feb-48,1948,AUSTRALIA,"Stockton Beach, Newcastle",Swimming/Surfing/Boogie Boarding,M,16,Y
4327,1948.01.25,25-Jan-48,1948,AUSTRALIA,"Mona Vale, near Sydney",Kayaking/Canoeing/Rowing,M,,N
4328,1948.00.00.d,Summer 1948,1948,USA,Biscayne Bay,,M,48,N
4329,1948.00.00.c,1948,1948,PAPUA NEW GUINEA,Finschafen  ,,M,,N
4330,1948.00.00.b,1948,1948,PAPUA NEW GUINEA,"Tung Island, off the west coast of Buka Island",Fishing/Spearfishing,M,,N
4331,1948.00.00.a,1948,1948,SOUTH AFRICA,False Bay,Fishing/Spearfishing,Unknown,,N
4332,1947.12.21,21-Dec-47,1947,AUSTRALIA,"Watson Taylor's Lake, 25 miles south of Port Macquarie",Fishing/Spearfishing,M,9,N
4333,1947.12.15.R,Reported 15-Dec-1947,1947,SOUTH AFRICA,Durban,,Unknown,,Y
4334,1947.12.00,Dec-47,1947,SENEGAL,"Tiaroye, near Dakar, Cap Vert Peninsula",,M,,Y
4335,1947.11.23,23-Nov-47,1947,AUSTRALIA,3 miles out to sea off Glenelg,Fishing/Spearfishing,Unknown,,N
4336,1947.11.14.b,14-Nov-47,1947,AUSTRALIA,"Knobby's Beach, Newcastle",,M,17,N
4337,1947.11.14.a,14-Nov-47,1947,AUSTRALIA,"Knobby's Beach, Newcastle",,M,16,N
4338,1947.11.08.b,08-Nov-47,1947,AUSTRALIA,"Maria River, Port Macquarie, 12 miles from river mouth",Swimming/Surfing/Boogie Boarding,M,12,Y
4339,1947.11.08.a,08-Nov-47,1947,AUSTRALIA,"Maria River, Port Macquarie, 12 miles from river mouth",Swimming/Surfing/Boogie Boarding,M,13,N
4340,1947.11.00,Nov-47,1947,AUSTRALIA,Moreton Bay,,Unknown,78,Y
4341,1947.10.28,28-Oct-47,1947,AUSTRALIA,"Mornington Island, Gulf of Carpentaria",,M,,N
4342,1947.10.10,10-Oct-47,1947,BRAZIL,Piedade,Swimming/Surfing/Boogie Boarding,M,25,Y
4343,1947.08.04,04-Aug-47,1947,USA,In a canal 10 miles north of St Augustine,Swimming/Surfing/Boogie Boarding,M,20,Y
4344,1947.07.27.R,Reported 27-Jul-1947,1947,USA,"Santa Monica, Los Angeles County",Fishing/Spearfishing,M,46,N
4345,1947.07.24.R,Reported 24-Jul-1947,1947,AUSTRALIA,Darwin Harbour,Diving/Scuba Diving/Freediving,M,,N
4346,1947.07.15,15-Jul-47,1947,SOUTH AFRICA,"North Beach, Durban",Swimming/Surfing/Boogie Boarding,M,20,N
4347,1947.07.00,Jul-47,1947,GREECE,Dodecanese Islands,,M,,N
4348,1947.06.27,27-Jun-47,1947,USA,"Off Waianae, O'ahu",Fishing/Spearfishing,M,35,N
4349,1947.06.16,16-Jun-47,1947,AUSTRALIA,Coogee,Fishing/Spearfishing,Unknown,,N
4350,1947.05.13.R,Reported 13-May-1947,1947,KENYA,"Kilindini Harbor, Mombasa",Swimming/Surfing/Boogie Boarding,M,,N
4351,1947.04.20,20-Apr-47,1947,SOUTH AFRICA,"Country Club Beach, Durban",Standing/Wading/Walking,M,21,N
4352,1947.04.11,11-Apr-47,1947,SOUTH AFRICA,"Rocket Hut Beach, Durban",Swimming/Surfing/Boogie Boarding,M,14,N
4353,1947.04.06,06-Apr-47,1947,AUSTRALIA,Palm Beach,Swimming/Surfing/Boogie Boarding,M,17,N
4354,1947.04.00,Apr-47,1947,PACIFIC OCEAN,Off Central American coast at 8N.79W,,M,29,N
4355,1947.03.12,12-Mar-47,1947,SOUTH AFRICA,"Country Club Beach, Durban",Standing/Wading/Walking,M,18,N
4356,1947.03.09,09-Mar-47,1947,SOUTH AFRICA,"Country Club Beach, Durban",Standing/Wading/Walking,M,22,N
4357,1947.02.23,23-Feb-47,1947,AUSTRALIA,Palm Beach,Fishing/Spearfishing,Unknown,,N
4358,1947.02.06.R,Reported 06-Feb-1947,1947,BAHAMAS,Cable Beach,,M,,N
4359,1947.02.00,Feb-47,1947,BRAZIL,Copacabana,Standing/Wading/Walking,Unknown,,Y
4360,1947.01.14,14-Jan-47,1947,AUSTRALIA,"Berry's Bay, Sydney Harbour",Kayaking/Canoeing/Rowing,Unknown,17 & 16,N
4361,1947.01.05,05-Jan-47,1947,SOUTH AFRICA,"Country Club Beach, Durban",Standing/Wading/Walking,M,18,N
4362,1946.12.28,28-Dec-46,1946,AUSTRALIA,Glenelg,,M,23,N
4363,1946.12.24.R,Reported 24-Dec-1946,1946,AUSTRALIA,"Auckland Creek, Gladstone",,Unknown,,N
4364,1946.11.20,20-Nov-46,1946,AUSTRALIA,40 miles off Thursday Island,,M,30,Y
4365,1946.10.26.R,Reported 26-Oct-1946,1946,MARSHALL ISLANDS,,Fishing/Spearfishing,Unknown,,Y
4366,1946.10.14,14-Oct-46,1946,AUSTRALIA,"Marks Point, Swan Bay, Lake Macquarie",Swimming/Surfing/Boogie Boarding,M,15,N
4367,1946.08.24,24-Aug-46,1946,ISRAEL,Jura Village,Fishing/Spearfishing,M,15,N
4368,1946.08.18,18-Aug-46,1946,AUSTRALIA,"Ellis Beach, 20 miles from Cairns",,M,30,Y
4369,1946.07.18.b,18-Jul-46,1946,IRAN,"Dorquain, on the Karun River",,M,12,N
4370,1946.07.18.a,18-Jul-46,1946,IRAN,"Ahvaz, on the Karun River, 275 km from the sea",Swimming/Surfing/Boogie Boarding,M,12,N
4371,1946.06.28,28-Jun-46,1946,INDIA,Chennai,Standing/Wading/Walking,M,14,N
4372,1946.05.09,09-May-46,1946,TANZANIA,Dar-es-Salaam harbor,Swimming/Surfing/Boogie Boarding,M,,N
4373,1946.04.19,19-Apr-46,1946,AUSTRALIA,"Trinity Beach, Cairns",Swimming/Surfing/Boogie Boarding,M,17,Y
4374,1946.04.00,Apr-46,1946,AUSTRALIA,Port Newby,Fishing/Spearfishing,Unknown,,N
4375,1946.03.20,20-Mar-46,1946,AUSTRALIA,Grange,Fishing/Spearfishing,M,28,N
4376,1946.02.16,16-Feb-46,1946,SOUTH AFRICA,"South Beach, Durban",Standing/Wading/Walking,M,21,N
4377,1946.02.10.b,10-Feb-46,1946,AUSTRALIA,"City Beach, Perth",Standing/Wading/Walking,M,18,N
4378,1946.02.10.a,10-Feb-46,1946,SOUTH AFRICA,"Battery Beach, Durban",Swimming/Surfing/Boogie Boarding,M,18,N
4379,1946.01.24.b,24-Jan-46,1946,SOUTH AFRICA,"Battery Beach, Durban",Standing/Wading/Walking,M,15,N
4380,1946.01.24.a,24-Jan-46,1946,SOUTH AFRICA,"Battery Beach, Durban",Swimming/Surfing/Boogie Boarding,M,,N
4381,1946.01.17,17-Jan-46,1946,AUSTRALIA,Townsville,,M,12,N
4382,1946.01.07,07-Jan-46,1946,SOUTH AFRICA,False Bay,,M,18,N
4383,1946.01.05,05-Jan-46,1946,AUSTRALIA,"Oatley Bay near Como, Georges River",Swimming/Surfing/Boogie Boarding,F,14,Y
4384,1946.01.01,01-Jan-46,1946,SOUTH AFRICA,"Pollock Beach, Port Elizabeth",Swimming/Surfing/Boogie Boarding,M,24,N
4385,1946.00.00.c,1946,1946,SOUTH AFRICA,Plettenberg Bay,,Unknown,,N
4386,1946.00.00.b,1946,1946,SOUTH AFRICA,Table Bay,,Unknown,,N
4387,1946.00.00.a,1946,1946,PERSIAN GULF,,,F,,N
4388,1945.09.23,23-Sep-45,1945,HONG KONG,Tweed Beach,Standing/Wading/Walking,M,,Y
4389,1945.09.19,19-Sep-45,1945,JAPAN,,,M,20,N
4390,1945.09.16,16-Sep-45,1945,JAPAN,,,M,,Y
4391,1945.09.06,06-Sep-45,1945,IRAN,Bashamir,Swimming/Surfing/Boogie Boarding,M,13,N
4392,1945.08.19,19-Aug-45,1945,IRAN / IRAQ,Vicinity of Abadan,,M,,N
4393,1945.08.06,06-Aug-45,1945,USA,Ocracoke,,Unknown,,Y
4394,1945.07.30,30-Jul-45,1945,PHILIPPINES,200 miles Leyte,,Unknown,,Y
4395,1945.07.00,Jul-45,1945,JAVA,Off Cheribon,,Unknown,,Y
4396,1945.06.15,15-Jun-45,1945,AUSTRALIA,"Trinity Beach, Cairns",Swimming/Surfing/Boogie Boarding,M,,Y
4397,1945.05.08,08-May-45,1945,USA,"Ocracoke Inlet, Carteret County",Swimming/Surfing/Boogie Boarding,M,,Y
4398,1945.03.06,06-Mar-45,1945,SOUTH AFRICA,Scottburgh,Standing/Wading/Walking,M,37,N
4399,1945.02.05,05-Feb-45,1945,ISRAEL,,Swimming/Surfing/Boogie Boarding,M,,N
4400,1945.00.00.d,1945,1945,JAMAICA,,Diving/Scuba Diving/Freediving,M,,N
4401,1945.00.00.c,1945,1945,CUBA,Cojimar,,M,,Y
4402,1945.00.00.b,1945,1945,PANAMA,"Mouth of Rio Dudio, 50 miles west of the city of Colon",,F,8 or 10,N
4403,1945.00.00.a,1945,1945,IRAQ,Shatt-al Arab River,Swimming/Surfing/Boogie Boarding,M,15,N
4404,1944.12.18,Between 18 & 22-Dec 1944,1944,PHILIPPINES,USS Hull DD-350 was one of 3 destroyers that capsized in Typhoon Cobra,,M,19,N
4405,1944.12.02,02-Dec-44,1944,USA,3 miles north of the inlet at Palm Beach,Fishing/Spearfishing,Unknown,,N
4406,1944.11.08,08-Nov-44,1944,SIERRA LEONE,Freetown,,M,18,Y
4407,1944.11.01,01-Nov-44,1944,AUSTRALIA,Maroochydore Beach,Swimming/Surfing/Boogie Boarding,M,,Y
4408,1944.10.26.b,26-Oct-44,1944,PHILIPPINES,,,M,,Y
4409,1944.10.26.a,26-Oct-44,1944,PHILIPPINES,,,M,,Y
4410,1944.10.25.b,25-Oct-44,1944,PHILIPPINES,,,M,,Y
4411,1944.10.25.a,25-Oct-44,1944,PHILIPPINES,Off Cape Engano,,M,,N
4412,1944.10.24,24-Oct-44,1944,UNKNOWN,225 miles east of Hong Kong,,M,,Y
4413,1944.10.23.R,Reported 23-Oct-1944,1944,AUSTRALIA,Tewantin,Fishing/Spearfishing,Unknown,,N
4414,1944.09.03,03-Sep-44,1944,USA,North Beach,Swimming/Surfing/Boogie Boarding,M,13,N
4415,1944.09.00,Sep-44,1944,CARIBBEAN SEA,,,M,,Y
4416,1944.08.20,20-Aug-44,1944,SOUTH AFRICA,Margate,Swimming/Surfing/Boogie Boarding,M,19,Y
4417,1944.07.22,22-Jul-144,1944,SOUTH AFRICA,Hartenbos,Swimming/Surfing/Boogie Boarding,M,17,Y
4418,1944.06.23,23-Jun-44,1944,NORTH PACIFIC OCEAN,Aircraft went down on 6/12/1944. He survived on raft for 11 days and was 150 miles off Guam when rescued,,M,,N
4419,1944.05.31,31-May-44,1944,USA,"Atlantic Beach, Mayport,  Duval County",Standing/Wading/Walking,F,15,N
4420,1944.05.24.R,Reported 24-May-1944,1944,SAMOA,,,Unknown,,N
4421,1944.05.04,04-May-44,1944,PANAMA,,,M,,Y
4422,1944.04.00,Apr-44,1944,NICARAGUA,,,Unknown,,Y
4423,1944.03.26.b,26-Mar-44,1944,SOUTH AFRICA,"Country Club Beach, Durban",Standing/Wading/Walking,M,18,N
4424,1944.03.26.a,26-Mar-44,1944,SOUTH AFRICA,"North Beach, Durban",Standing/Wading/Walking,M,23,Y
4425,1944.03.14,14-Mar-44,1944,SOUTH AFRICA,"Country Club Beach, Durban",Standing/Wading/Walking,M,16,N
4426,1944.02.27,27-Feb-44,1944,SOUTH AFRICA,False Bay,Standing/Wading/Walking,M,,N
4427,1944.02.18,18-Feb-44,1944,INDIA,"Triplicane Beach, Chennai",Standing/Wading/Walking,M,12,Y
4428,1944.01.20,20-Jan-44,1944,SOUTH AFRICA,"North Beach, Durban",Swimming/Surfing/Boogie Boarding,M,22,Y
4429,1944.01.16,16-Jan-44,1944,AUSTRALIA,"Cottesloe, Perth",Fishing/Spearfishing,M,,N
4430,1944.01.14,14-Jan-44,1944,AUSTRALIA,"First Beach, Forster",Swimming/Surfing/Boogie Boarding,M,14,N
4431,1944.01.04,04-Jan-44,1944,SOUTH AFRICA,"North Beach, Durban",Swimming/Surfing/Boogie Boarding,M,26,Y
